gene,pval,pval_adj,logfoldchanges,cluster
GLRX5,0.00036630865058724594,0.004777938920703208,-1.7998995,1
UBE2S,0.0003030203573269673,0.004042237865662834,-2.063919,1
SLC7A7,0.00017705904424257586,0.0025911079645255003,-23.378263,1
MS4A7,0.00017705904424257586,0.0025911079645255003,-23.378263,1
MT1E,0.00017274261979179895,0.0025911079645255003,-2.993207,1
CNKSR2,0.000157151018231993,0.0023871040744100204,-23.57203,1
HBA1,0.000157151018231993,0.0023871040744100204,-23.57203,1
CAV1,0.0001568490836830266,0.0023871040744100204,-23.967146,1
NME1,0.0002030982366385542,0.002936360047786326,-2.063919,1
TUBG1,0.00010358029086663669,0.0017271586312995987,-23.47836,1
C15orf48,0.00010358029086663669,0.0017271586312995987,-23.47836,1
CSF3R,0.00010358029086663669,0.0017271586312995987,-23.47836,1
TM4SF1,0.00010358029086663669,0.0017271586312995987,-23.47836,1
CDKN1C,9.090418939485056e-05,0.0016281347354301593,-24.220926,1
FXN,0.0001462798300361645,0.0023721053519378025,-2.494348,1
IFIT1,8.43125809250404e-05,0.0015329560168189163,-23.896196,1
SEC11C,0.0001379505364398601,0.0022676800510661936,-1.6093489,1
